sku,description,ean,mpn,brand,title,promo_price,promo_qty,promo_expiry,currency,url,crawl_time,current_price,promo_data,model,retailer_sku_code,upc,price
,,,,,HTC One E9+ Dual SIM ,,,,,http://www.expansys.com.sg/htc-one-e9-dual-sim-unlocked-lte-32gb-meteor-gray-278399/,,,,,,,
,,,,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,,,,,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-aqua-blue-282154/,,,,,,,
,,,,,Samsung GALAXY J1 Dual-SIM SM-J100F ,,,,,http://www.expansys.com.sg/samsung-galaxy-j1-dual-sim-sm-j100f-unlocked-lte-4gb-white-278510/,,,,,,,
,,,,,Microsoft Lumia 640 Dual SIM RM-1113 ,,,,,http://www.expansys.com.sg/microsoft-lumia-640-dual-sim-unlocked-lte-8gb-white-276478/,,,,,,,
,,,,,LG G4 Dual-SIM H818N ,,,,,http://www.expansys.com.sg/lg-g4-dual-sim-h818n-unlocked-lte-32gb-genuine-leather-sky-blue-278533/,,,,,,,
,,,,,Samsung Galaxy S6 edge+ Dual-SIM SM-G9287 ,,,,,http://www.expansys.com.sg/samsung-galaxy-s6-edge-dual-sim-sm-g9287-unlocked-lte-32gb-silver-titanium-281951/,,,,,,,
,,,,,Motorola Moto X Play XT1562 Dual SIM ,,,,,http://www.expansys.com.sg/motorola-moto-x-play-dual-sim-unlocked-16gb-white-283582/,,,,,,,
,,,,,Samsung GALAXY A7 Dual-SIM SM-A700YD ,,,,,http://www.expansys.com.sg/samsung-galaxy-a7-dual-sim-sm-a700yd-unlocked-lte-16gb-white-274491/,,,,,,,
,,,,,Samsung GALAXY A5 Dual SIM SM-A5000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-a5-unlocked-lte-16gb-gold-270609/,,,,,,,
,,,,,Xiaomi Mi 4i Dual SIM ,,,,,http://www.expansys.com.sg/xiaomi-mi-4i-dual-sim-unlocked-32gb-dark-grey-285274/,,,,,,,
,,,,,ASUS ZenFone 2 - ZE551ML Dual SIM ,,,,,http://www.expansys.com.sg/asus-zenfone-2-ze551ml-dual-sim-unlocked-lte-32gb-dandy-red-275812/,,,,,,,
,,,,,Google Nexus 5X LG-H798 ,,,,,http://www.expansys.com.sg/google-nexus-5x-unlocked-32gb-ice-blue-284566/,,,,,,,
,,,,,Samsung GALAXY A8 Dual SIM SM-A8000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-a8-dual-sim-sm-a8000-unlocked-lte-16gb-gold-280864/,,,,,,,
,,,,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-white-282145/,,,,,,,
,,,,,Motorola Moto X Play XT1562 ,,,,,http://www.expansys.com.sg/motorola-moto-x-play-xt1562-unlocked-lte-16gb-black-282178/,,,,,,,
,,,,,Google Nexus 5X LG-H798 ,,,,,http://www.expansys.com.sg/google-nexus-5x-unlocked-16gb-carbon-black-284559/,,,,,,,
,,,,,LG V10 Dual-SIM H961N ,,,,,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-modern-beige-285221/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-32gb-silver-285788/,,,,,,,
,,,,,Apple iPad mini 4 A1550 ,,,,,http://www.expansys.com.sg/apple-ipad-mini-4-unlocked-lte-16gb-space-gray-282728/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-128gb-gold-267514/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-128gb-silver-285791/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-64gb-space-grey-267519/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-128gb-silver-267512/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-16gb-space-grey-267516/,,,,,,,
,,,,,Apple iPad Pro A1652 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1652-lte-128gb-gold-285855/,,,,,,,
,,,,,Apple iPad Air 2 A1566 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1566-wifi-64gb-space-grey-267510/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-128gb-gold-285792/,,,,,,,
,,,,,Samsung Galaxy Tab S2 9.7 SM-T815C ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t815-lte-32gb-white-280813/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-128gb-silver-267521/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-128gb-space-gray-285790/,,,,,,,
,,,,,Apple iPad Pro A1584 ,,,,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-32gb-gold-285789/,,,,,,,
,,,,,HTC One ME Dual SIM M9ew ,,,,,http://www.expansys.com.sg/htc-one-me-dual-sim-unlocked-lte-32gb-meteor-grey-280090/,,,,,,,
,,,,,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glacier-gray-285965/,,,,,,,
,,,,,Apple iPad mini 4 A1550 ,,,,,http://www.expansys.com.sg/apple-ipad-mini-4-unlocked-lte-16gb-gold-282794/,,,,,,,
,,,,,Motorola Moto X Play XT1562 ,,,,,http://www.expansys.com.sg/motorola-moto-x-play-xt1562-unlocked-lte-16gb-white-282221/,,,,,,,
,,,,,Samsung Galaxy Tab S2 9.7 SM-T810 ,,,,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t810-wifi-32gb-gold-280811/,,,,,,,
,,,,,Apple iPad Air 2 A1567 ,,,,,http://www.expansys.com.sg/apple-ipad-air-2-a1567-unlocked-lte-128gb-space-grey-267522/,,,,,,,
,,,,,Microsoft Lumia 950 XL RM-1085 ,,,,,http://www.expansys.com.sg/microsoft-lumia-950-xl-rm-1085-unlocked-32gb-white-286250/,,,,,,,
,,,,,Meizu m2 note M571H Dual-SIM ,,,,,http://www.expansys.com.sg/meizu-m2-note-dual-sim-unlocked-16gb-grey-284512/,,,,,,,
,,,,,Samsung GALAXY A8 Dual SIM SM-A8000 ,,,,,http://www.expansys.com.sg/samsung-galaxy-a8-dual-sim-sm-a8000-unlocked-lte-16gb-white-280863/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-128gb-rose-gold-282856/,,,,,,,
,,,,,Motorola Moto X Style XT1572 ,,,,,http://www.expansys.com.sg/motorola-moto-x-style-xt1572-unlocked-32gb-white-284814/,,,,,,,
,,,,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,,,,,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-64gb-white-282089/,,,,,,,
,,,,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-black-282293/,,,,,,,
,,,,,Google Nexus 5X LG-H798 ,,,,,http://www.expansys.com.sg/google-nexus-5x-unlocked-16gb-quartz-white-284562/,,,,,,,
,,,,,LG G3 D855 ,,,,,http://www.expansys.com.sg/lg-g3-d855-unlocked-lte-32gb-shine-gold-262973/,,,,,,,
,,,,,Samsung GALAXY A7 Dual-SIM SM-A700YD ,,,,,http://www.expansys.com.sg/samsung-galaxy-a7-dual-sim-sm-a700yd-unlocked-lte-16gb-black-274490/,,,,,,,
,,,,,Google Nexus 6P H1512 ,,,,,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-32gb-aluminium-silver-285891/,,,,,,,
,,,,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,,,,,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-purple-282091/,,,,,,,
,,,,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-red-282314/,,,,,,,
,,,,,Microsoft Lumia 640 Dual SIM RM-1113 ,,,,,http://www.expansys.com.sg/microsoft-lumia-640-dual-sim-unlocked-lte-8gb-orange-276480/,,,,,,,
,,,,,Lenovo PHAB Plus Dual SIM PB1-770M ,,,,,http://www.expansys.com.sg/lenovo-phab-plus-dual-sim-unlocked-32gb-titanium-silver-282718/,,,,,,,
,,,,,LG AKA - H788 ,,,,,http://www.expansys.com.sg/lg-aka-h788n-unlocked-lte-16gb-wooky-white-275884/,,,,,,,
,,,,,Google Nexus 5X LG-H798 ,,,,,http://www.expansys.com.sg/google-nexus-5x-unlocked-16gb-ice-blue-284563/,,,,,,,
,,,,,BlackBerry® Classic – SQC100-1: RHH151LW ,,,,,http://www.expansys.com.sg/blackberry-classic-sqc100-1-rhh151lw-unlocked-lte-16gb-blue-280022/,,,,,,,
,,,,,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,,,,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-white-pearl-281922/,,,,,,,
,,,,,LG G3 Dual LG-D858HK ,,,,,http://www.expansys.com.sg/lg-g3-dual-d858-unlocked-lte-32gb-metallic-black-266662/,,,,,,,
,,,,,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-sheer-gold-285976/,,,,,,,
,,,,,Microsoft Lumia 430 Dual SIM RM-1099 ,,,,,http://www.expansys.com.sg/microsoft-lumia-430-dual-sim-unlocked-8gb-black-276502/,,,,,,,
,,,,,Meizu m2 note M571H Dual-SIM ,,,,,http://www.expansys.com.sg/meizu-m2-note-dual-sim-unlocked-16gb-white-284513/,,,,,,,
,,,,,Lenovo PHAB Plus Dual SIM PB1-770M ,,,,,http://www.expansys.com.sg/lenovo-phab-plus-dual-sim-unlocked-32gb-gunmetal-grey-282716/,,,,,,,
,,,,,ASUS ZenFone 2 - ZE551ML Dual SIM ,,,,,http://www.expansys.com.sg/asus-zenfone-2-ze551ml-dual-sim-unlocked-lte-32gb-gold-275811/,,,,,,,
,,,,,HTC One ME Dual SIM M9ew ,,,,,http://www.expansys.com.sg/htc-one-me-dual-sim-unlocked-lte-32gb-rose-gold-280091/,,,,,,,
,,,,,Google Nexus 6P H1512 ,,,,,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-64gb-frost-white-285896/,,,,,,,
,,,,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,,,,,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-chic-pink-282155/,,,,,,,
,,,,,Microsoft Lumia 430 Dual SIM RM-1099 ,,,,,http://www.expansys.com.sg/microsoft-lumia-430-dual-sim-unlocked-8gb-orange-276503/,,,,,,,
,,,,,ASUS ZenFone 2 - ZE551ML Dual SIM ,,,,,http://www.expansys.com.sg/asus-zenfone-2-ze551ml-dual-sim-unlocked-lte-64gb-silver-275814/,,,,,,,
,,,,,Apple iPhone 6 Plus A1524 ,,,,,http://www.expansys.com.sg/apple-iphone-6-plus-a1524-unlocked-64gb-space-gray-265936/,,,,,,,
,,,,,Samsung Galaxy S6 edge SM-G9250 ,,,,,http://www.expansys.com.sg/samsung-galaxy-s6-edge-unlocked-lte-32gb-gold-platinum-276198/,,,,,,,
,,,,,Google Nexus 6P H1512 ,,,,,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-64gb-aluminium-silver-285894/,,,,,,,
,,,,,Motorola Moto X Play XT1562 Dual SIM ,,,,,http://www.expansys.com.sg/motorola-moto-x-play-dual-sim-unlocked-16gb-black-283581/,,,,,,,
,,,,,Samsung Galaxy S6 Dual-SIM SM-G9200 ,,,,,http://www.expansys.com.sg/samsung-galaxy-s6-unlocked-lte-32gb-blue-topaz-274860/,,,,,,,
,,,,,Huawei Ascend Mate7 MT7-L09 ,,,,,http://www.expansys.com.sg/huawei-ascend-mate7-unlocked-16gb-black-269402/,,,,,,,
,,,,,Huawei B890 LTE Wireless Gateway B890-75 ,,,,,http://www.expansys.com.sg/huawei-b890u-4g-lte-wifi-router-278226/,,,,,,,
,,,,,Microsoft Lumia 640 XL Dual SIM RM-1096 ,,,,,http://www.expansys.com.sg/microsoft-lumia-640-xl-dual-sim-rm-1096-unlocked-lte-8gb-black-276721/,,,,,,,
,,,,,Apple iPhone 6 Plus A1524 ,,,,,http://www.expansys.com.sg/apple-iphone-6-plus-a1524-unlocked-128gb-gold-265941/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-64gb-gold-282850/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-64gb-rose-gold-282808/,,,,,,,
,,,,,LG G4 Dual-SIM H818N ,,,,,http://www.expansys.com.sg/lg-g4-dual-sim-h818n-unlocked-lte-32gb-genuine-leather-black-278529/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-a1687-unlocked-64gb-rose-gold-282855/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-128gb-space-gray-282799/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-gold-282803/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-128gb-gold-282852/,,,,,,,
,,,,,Apple iPhone 6s A1688 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-rose-gold-282807/,,,,,,,
,,,,,Apple iPhone 6s Plus A1687 ,,,,,http://www.expansys.com.sg/apple-iphone-6s-plus-unlocked-64gb-silver-282844/,,,,,,,
,,,,,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",,,,,http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glamour-red-285977/,,,,,,,
